IG,Y2008,Y2009
S02000260,105,111
S02000261,10,26
S02000262,43,46
S02000263,37,32
S02000264,54,52
S02000265,22,29
S02000266,35,32
S02000267,36,30
S02000268,70,65
S02000269,29,39
S02000270,70,74
S02000271,27,36
S02000272,38,45
S02000273,26,27
S02000274,36,33
S02000275,45,38
S02000276,39,46
S02000277,94,94
S02000278,27,34
S02000279,63,55
S02000280,52,69
S02000281,71,68
S02000282,29,31
S02000283,58,36
S02000284,60,67
S02000285,23,31
S02000286,50,63
S02000287,58,55
S02000310,51,65
S02000311,69,62
S02000312,34,23
S02000313,60,66
S02000314,115,86
S02000316,19,27
S02000317,54,56
S02000318,58,72
S02000319,28,27
S02000320,39,27
S02000321,102,84
S02000322,68,83
S02000323,38,37
S02000324,57,57
S02000325,45,53
S02000326,47,60
S02000327,66,78
S02000328,153,121
S02000329,51,47
S02000584,106,86
S02000585,109,134
S02000586,58,76
S02000587,85,73
S02000588,107,104
S02000589,124,103
S02000590,65,69
S02000591,26,33
S02000592,85,109
S02000593,43,63
S02000594,59,64
S02000595,64,55
S02000596,85,64
S02000597,152,125
S02000598,41,57
S02000599,64,52
S02000600,45,40
S02000601,102,89
S02000602,102,112
S02000603,56,45
S02000604,49,33
S02000605,43,43
S02000606,62,81
S02000607,72,77
S02000608,95,103
S02000609,45,35
S02000610,160,154
S02000611,74,65
S02000612,81,102
S02000613,68,73
S02000614,50,75
S02000615,100,107
S02000616,94,99
S02000617,141,123
S02000618,70,91
S02000619,103,100
S02000620,154,145
S02000621,133,151
S02000622,70,71
S02000623,48,33
S02000624,69,51
S02000625,54,73
S02000626,89,105
S02000627,102,106
S02000628,156,158
S02000629,60,46
S02000630,101,70
S02000631,74,72
S02000632,126,120
S02000633,168,142
S02000634,65,74
S02000635,145,151
S02000636,55,55
S02000637,76,82
S02000638,116,111
S02000639,83,74
S02000640,147,124
S02000641,136,122
S02000642,70,80
S02000643,136,115
S02000644,61,84
S02000645,44,47
S02000646,110,87
S02000647,77,66
S02000648,128,143
S02000649,39,52
S02000650,61,34
S02000651,36,47
S02000652,116,56
S02000653,62,56
S02000654,154,190
S02000655,44,48
S02000656,172,173
S02000657,126,104
S02000658,119,123
S02000659,141,114
S02000660,161,185
S02000661,64,43
S02000662,83,79
S02000663,152,161
S02000664,82,61
S02000665,62,72
S02000666,208,173
S02000667,148,137
S02000668,41,46
S02000669,88,79
S02000670,94,62
S02000671,84,65
S02000672,36,30
S02000673,71,51
S02000674,85,83
S02000675,86,70
S02000676,104,98
S02000677,28,35
S02000678,103,93
S02000679,42,46
S02000680,75,72
S02000681,41,50
S02000682,27,20
S02000683,36,32
S02000684,74,116
S02000685,116,107
S02000686,61,78
S02000687,91,100
S02000688,104,93
S02000689,76,69
S02000690,41,70
S02000691,188,129
S02000692,204,186
S02000693,100,110
S02000694,94,105
S02000695,62,74
S02000696,61,66
S02000697,140,134
S02000698,62,48
S02000699,83,95
S02000700,62,61
S02000701,141,115
S02000702,59,41
S02000703,43,57
S02000704,78,106
S02000705,133,122
S02000706,111,98
S02000707,95,109
S02000708,91,93
S02000709,146,144
S02000710,83,94
S02000711,62,53
S02000712,92,91
S02000713,59,57
S02000714,89,86
S02000715,84,76
S02000716,89,96
S02000771,47,40
S02000772,53,65
S02000773,38,48
S02000774,107,102
S02000775,115,92
S02000776,131,89
S02000777,77,57
S02000778,93,115
S02000779,64,43
S02000780,75,75
S02000781,129,121
S02000782,117,114
S02000783,89,100
S02000784,94,116
S02000785,70,70
S02000786,52,53
S02000787,77,68
S02000923,77,71
S02000925,93,87
S02000926,95,69
S02000927,46,58
S02000983,47,51
S02000984,64,55
S02000985,93,91
S02000986,73,47
S02000987,113,97
S02000988,132,105
S02000989,50,40
S02000990,49,35
S02000991,109,133
S02000992,75,80
S02000993,46,49
S02000994,111,104
S02000995,121,104
S02000996,45,39
S02000997,86,66
S02000998,73,82
S02000999,94,64
S02001000,143,112
S02001001,95,79
S02001002,48,45
S02001003,143,128
S02001004,115,110
S02001005,89,86
S02001006,68,86
S02001007,164,159
S02001008,69,38
S02001009,32,29
S02001010,78,78
S02001011,112,113
S02001012,30,21
S02001013,96,58
S02001014,128,117
S02001015,46,54
S02001016,75,62
S02001017,82,63
S02001018,54,81
S02001019,103,96
S02001020,44,39
S02001146,66,86
S02001148,56,58
S02001149,99,78
S02001150,74,86
S02001152,73,63
S02001153,71,52
S02001154,34,38
S02001156,87,75
S02001157,65,70
S02001158,43,43
S02001159,62,72
S02001160,99,89
S02001161,79,72
S02001162,85,78
S02001184,81,97
S02001185,124,124
S02001186,149,146
S02001187,132,91
S02001188,116,123
S02001189,48,57
S02001190,70,71
S02001191,84,104
S02001192,100,97
S02001193,73,75
S02001194,46,47
S02001195,161,89
S02001196,87,76
S02001197,80,71
S02001198,101,87
S02001199,95,83
S02001200,79,72
S02001201,63,61